customer_message,true_intent,predicted_intent,reply,decision,reason
Amazonから自分宛に届いた商品が見覚えのないもので納品書も入ってないらしいし、でも電話番号も名前も住所もうちので注文履歴に何も書いてないんだけどなんこれ。,other,delivery_delay,"@216146 I'm sorry for the wait! We definitely don't want to let you down. Typically, late packages arrive within the next 1-2 business days. If it's not received tomorrow, please give us a call or chat to look into options: https://t.co/hApLpMlfHN ^KB",auto_handle,Similar historical support cases were found.
@AmazonHelp Haven't got any details. It would be good for me if I can actually get a decent update instead of repulsive copy - paste messages,other,delivery_delay,@306432 Kindly wait till you receive an update. Appreciate your patience. ^AK,auto_handle,Similar historical support cases were found.
@AmazonHelp @AmazonHelp please refer to the first tweet in the series. First you don't deliver and then you ask same details multiple times,other,delivery_delay,@214626 please share your details in the link provided earlier and then we'll have the issue checked for you. (2/2) ^KA,auto_handle,Similar historical support cases were found.
huh guess i have amazon prime now,prime_or_subscription,prime_or_subscription,@625773 Hmm... Well do you want some information on how to cancel the subscription? ^MJ,auto_handle,Similar historical support cases were found.
@AmazonHelp Only winners ? and what is the date for next announcement,other,delivery_delay,@191566 Please click here: https://t.co/Sb5MX1m29U to view more details on winner's announcement date. ^HD,auto_handle,Similar historical support cases were found.
Nooo @115821 how could you let me down by not delivering my heels in time for tomorrow 😞,other,delivery_delay,@272879 Oh no! Have we missed a delivery date that you were given at check out? Please check here:  https://t.co/aaDyEz1VgE ^MW,auto_handle,Similar historical support cases were found.
"@115821 @AmazonHelp If the delivery date was not missed I would not have reached out. Delivery was scheduled for Friday by 8pm. Now it's another 3 to 5 days. Not cool.
#disappointed",delivery_delay,delivery_delay,@239953 Sorry to hear this Kevin. Have you checked the tracking of the order? You can check here: https://t.co/Y5jpI9gRhE.^BZ,auto_handle,Similar historical support cases were found.
@AmazonHelp Order no. 406-6787527-3269912 dated 12-10-17 not yet dispatch??? Whn can I get it? Its more than 10 days now..,other,delivery_delay,"@364452 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW",auto_handle,Similar historical support cases were found.
@AmazonHelp Yep it set as default in the app. https://t.co/aMlbf7RMww,product_or_service_issue,product_or_service_issue,@207240 Hmm. Let's take a closer look here: https://t.co/JzP7hlA23B ^JZ,auto_handle,Similar historical support cases were found.
結構な数の名作映画が見放題なの、控えめに言ってAmazon prime video神じゃないですか？？？,prime_or_subscription,prime_or_subscription,"@819099 |ω・)ﾁﾗｯ
存分にお楽しみください！( *• ̀ω•́ )b✨ YM",auto_handle,Similar historical support cases were found.
@AmazonHelp i had the student membership and yes,prime_or_subscription,prime_or_subscription,@710000 Oh no! Have you received any e-mails from us previously regarding your membership? You can read more about the changes here: https://t.co/Qam6A5tXqU and how to cancel if need be here: https://t.co/TSBGyIXQl0. Please let us know if you have further questions. ^TG,auto_handle,Similar historical support cases were found.
@AmazonHelp Sauf que nulle part sur la page de l'article il n'était écrit que le câble n'était pas inclus. Un câble équivalent tel que https://t.co/u34nJdtOue fonctionnera parfaitement.,product_or_service_issue,product_or_service_issue,@696259 Il nous est malheureusement impossible de vous envoyer un article ne faisant pas partie de la commande originale. Je vous remercie pour votre compréhension. ^MH,auto_handle,Similar historical support cases were found.
@115850 @115821 What is the point of giving delivery date when you people can't deliver on time and customer service hangs up on customer.,delivery_delay,delivery_delay,"@724657 That is quite a remark, Sumit. Kindly fill in your details here: https://t.co/W5TSYF7QQV and we will get back to you soon. ^KS",auto_handle,Similar historical support cases were found.
Le SAV de @2600 est détestable. J'ai passé 2 heures a essayer d'avoir de l'aide et la seule chose que j'ai eu c'est un malheureux,other,delivery_delay,"@434259 ..problème, afin de pouvoir accéder à votre compte et vérifier cela pour vous. 2/2 ^MH",auto_handle,Similar historical support cases were found.
私のぽちゃぬい達はどこにいるんだろう…配達予定日過ぎてるよ、密林さん…,other,delivery_delay,"@216146 I'm sorry for the wait! We definitely don't want to let you down. Typically, late packages arrive within the next 1-2 business days. If it's not received tomorrow, please give us a call or chat to look into options: https://t.co/hApLpMlfHN ^KB",auto_handle,Similar historical support cases were found.
@115821 I’m interested in amazon flex. How can I get started?,other,delivery_delay,@813354 Hello Malik! Interested in Amazon Flex you say? Let's get some more info on that here: https://t.co/cB88GusrW6 ^JZ,auto_handle,Similar historical support cases were found.
"@AmazonHelp Pues sobre todo videojuegos como pubg, cod, fortnite, ARK, cuphead, etc",other,delivery_delay,"@134789 🙀 ¡Increíble, Nacho! ¿Cuál es uno de tus videojuegos favoritos? 🎮 ^LG",auto_handle,Similar historical support cases were found.
"@115850 My  Order# 404-4244805-4392323 shows as Delivered on 03 Nov 2017, but I have still not received it!! Kindly revert urgently.",delivery_missing,delivery_missing,@476516 We'll check your details and assist you accordingly. (2/3) ^SV,auto_handle,Similar historical support cases were found.
@115821 so i had my fire stick remote next to a lamp in my house... the remote started melting from the heat. where can i get a replacement?,refund_or_return,refund_or_return,@356362 I'm so sorry to hear this! We'd like to take a look into some available options with you: https://t.co/hApLpMlfHN ^TH,auto_handle,Similar historical support cases were found.
"@116875 Ok, comienzo a molestarme. ¿Cuál es la justificación para que 2 veces me cancelen ésta preventa? https://t.co/r6fYgpGyGZ",other,delivery_delay,"@345224 Hola Jose, lamentamos el inconveniente. ¿A la hora de hacer el pedido el producto estaba disponible? ^MB",auto_handle,Similar historical support cases were found.
What a way to start a Friday. Beyond annoyed with @115821 customer service.,product_or_service_issue,product_or_service_issue,"@433135 I'm sorry we've let you down, Chris. Without providing sensitive info, can you tell us more detail on what's going on? ^HS",auto_handle,Similar historical support cases were found.
@AmazonHelp Well as I said it’s multiple but I would have thought if I ordered something from prime today (Friday) at 10am I wouldn’t have to wait till Monday to receive it? Plus I’m in Swansea and the amazon warehouse is about 4 miles from my house 😂,prime_or_subscription,prime_or_subscription,@148250 Thank you for the information. Some items can take longer to process. You can find more information here: https://t.co/G8voAavjiV. ^AL,auto_handle,Similar historical support cases were found.
@115821 @115851 Alright. Your delivery guys are beginning to outright lie. And you want us to give them codes to our homes? @128511 @223118 https://t.co/e0KjbniMH0,other,delivery_delay,"@223117 I'm sorry to hear about this negative experience! Have you received this package yet? Also, which carrier was assigned to deliver this package? You can find this information under tracking details here: https://t.co/q4LAMYLRN4 ^JS",auto_handle,Similar historical support cases were found.
"Dear Amazon, 

Where is my leaf blower!!!",other,delivery_delay,@509530 We'd like to help! What was the estimated delivery date provided at checkout? ^JO,auto_handle,Similar historical support cases were found.
@AmazonHelp Yes it was today.,other,delivery_delay,@412638 I'm sorry to hear about that. Our team would like to investigate. Please provide more info here: https://t.co/nuAqQ7sA1P ^EB,auto_handle,Similar historical support cases were found.
Possessori di #kindle: esiste l'opzione pagine e non percentuale?,other,delivery_delay,@134786 Hai già provato a seguire le indicazioni della nostra pagina di aiuto: https://t.co/6eBIfCcn2I? Facci sapere! ^FA,auto_handle,Similar historical support cases were found.
"@115850 Thanks for taking it as a feedback, didn't expected this could be considered.",other,delivery_delay,@147583 It shall be. Every feedback shared is monitored by our team internally. ^YP,auto_handle,Similar historical support cases were found.
"@115850 apparently the convenient of delivery crew is more important to them customers! Despite specific slot, my delivery is rescheduled as crew was inconveniened. #Canceled",product_or_service_issue,delivery_delay,@509289 This isn't something we advocate on any order. Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B. ^CB,auto_handle,Similar historical support cases were found.
@115850 Ref my Tweet yesterday. Package not yet received. No action from you. Sad.-@426195,other,delivery_delay,"@426195 I'd like to take a look, please share your details on the link here: https://t.co/GIJyeYqKE0. We'll look into it. 2/2^PS",auto_handle,Similar historical support cases were found.
"@132994 @115850 I want to upgrade from OnePlus 5 to 5T. I've purchased it on 5th oct 2017 can I get the exchange benefits......
Please help me out.",other,delivery_delay,@523963 I understand you want to know more about the exchange offer. Exchange facility is available only 1/3 ^KH,auto_handle,Similar historical support cases were found.
"@AmazonHelp Thank you, I had to call customer service three times but it got fixed",product_or_service_issue,product_or_service_issue,"@195810 We're glad to see you were helped. Let us know if you need anything, we're here 24/7. ^DW",auto_handle,Similar historical support cases were found.
@AmazonHelp No its not,other,delivery_delay,@639886 That is unusual. Is the item shipped by amazon or is it a seller fulfilled item ? ^KS,auto_handle,Similar historical support cases were found.
Hi @AmazonHelp I am still getting these weird emails after someone stole my password 😳 https://t.co/6RRB9IPdhe,account_or_login,account_or_login,"@382580 Hi, sorry about that. Please check here for help how to urn it off: https://t.co/FgxVoE4fTM ^AT",auto_handle,Similar historical support cases were found.
@AmazonHelp ou contacte t'on votre sav ?,other,delivery_delay,@707537 Via le lien suivant:  https://t.co/hgIrz98cdI ^SA,auto_handle,Similar historical support cases were found.
@AmazonHelp Can see one driver throwing a package out from window at one of my neighbors house. https://t.co/AopojFAnnx,other,delivery_delay,@245840 I am really sorry to see this Paul. Was the package still in perfect condition? Have you raised this with us directly?^SM,auto_handle,Similar historical support cases were found.
@AmazonHelp Yes I did it after your tweet and the error is still same.,other,delivery_delay,@482404 We'd like to look into this. Please reach out to us by phone or chat here: https://t.co/kemP5V5LSW ^RR,auto_handle,Similar historical support cases were found.
@115850 order not delivered yet &amp;msg receive yesterday that order delivered.i had paid extra for early delivery .really fed up.Poor servic,delivery_missing,delivery_delay,@321563 Please drop in your details here: https://t.co/GIJyeYqKE0. We will sort this for you. 2/2 ^SB,auto_handle,Similar historical support cases were found.
@AmazonHelp the tracking begins with TBA - i don't even know what courier that is lol,other,delivery_delay,"@276067 Thank you for this information. If your order hasn't arrived by 8:00 PM, please let us know! ^JR",auto_handle,Similar historical support cases were found.
"@115830 My parcel that should have been delivered Wednesday that wasn't, that was supposed to be redelivered yesterday, wasn't. Useless!",delivery_missing,delivery_missing,@129371 I'm sorry your parcel hasn't arrived! Please get in touch with us here: https://t.co/JzP7hlA23B for available options. ^EZ,auto_handle,Similar historical support cases were found.
"@AmazonHelp Que se passe-t-il ? Livraison prévue hier, le tracking amazon indique livraison aujourd'hui alors que les colis ne sont pas expédiés sur le tracking la poste. order n° 171-0075987-3865929 et 171-9027471-0597929 merci https://t.co/s5ROpw6STW",other,delivery_delay,"@167153 Bonjour, je suis désolé d'apprendre cela. Je vous invite (pour des raisons de sécurité) à supprimer le numéro de commande de votre post.
Avez-vous signalé cet incident à notre SAV?^FT",auto_handle,Similar historical support cases were found.
@AmazonHelp entre 30/11e 07/12 :),other,delivery_delay,@153397 Você deve estar ansiosa demais!  😍👏^JJ,auto_handle,Similar historical support cases were found.
"@AmazonHelp Hey @AmazonHelp  you need more time ? its +4 days of delivery time and no one have called no one have contacted me, no delivery boy came in nor my parcel is with me...cant believe #ShameOnYou",other,delivery_delay,@663163 Sorry for the delay in delivering the package. I understand that waiting is tiresome but the issue is being looked into and we will connect with you shortly. Your patience will be much appreciated here.  ^KK,auto_handle,Similar historical support cases were found.
"2nd time in a month my prime package is mysteriously delayed. Oh @115821 you were doing so well, and now I'm back to feeling like Prime isn't worth the money. https://t.co/QgdEz2zz5o",delivery_delay,delivery_delay,"@174351 I'm sorry for the wait! This isn't what we strive for and I'm sorry we let you down. If it hasn't arrived by Wednesday, please reach us here: https://t.co/hApLpM3Ejd for your available options. ^DW",auto_handle,Similar historical support cases were found.
"架空請求きたよww

しかとショートメールでAmazon相談係。 https://t.co/Frn8ZegIuB",other,delivery_delay,@552589 気に入っていただけて嬉しいニャ！🐱🐱🐱ET,auto_handle,Similar historical support cases were found.
"First time using @115821 &amp; my package doesn’t get delivered, no notice slip, somehow they think my house is a business that closed at 6? Never again thank you.",delivery_missing,delivery_missing,@797322 I'm sorry about the wait! We want to help. Have you reached out to us via phone/chat to provide the business hours of operation? We'd love to forward that info to the carrier. ^SH,auto_handle,Similar historical support cases were found.
"1/2 Wait in all day for an @115830 delivery. It turns up over an hour after delivery cut off, open it up to find it's already damaged....",other,delivery_delay,@331171 I'm sorry your order was damaged! We'd like to help you so please reach us here: https://t.co/JzP7hlA23B ^DD,auto_handle,Similar historical support cases were found.
"Hey @115830, need to ""return"" an item I never received but got delivery confirmation for - what should I do? There was no card or anything.",refund_or_return,delivery_delay,"@751301 Hi, sorry to hear that you haven't received your order, have you tried these suggestions: https://t.co/L76CBge35P? ^JJ",auto_handle,Similar historical support cases were found.
"@AmazonHelp Nein, mit einem iOS Gerät hat es aber im selben Netz funktioniert. Habe WLAN aus und wieder ein geschaltet, jetzt klappt es. Thx",product_or_service_issue,product_or_service_issue,"@206638 Super, das freut mich. Starte gut ins Wochenende! ^DW",auto_handle,Similar historical support cases were found.
@AmazonHelp @115850 there was no phone call as claimed. #Lies are not appreciated!,product_or_service_issue,product_or_service_issue,@369989 Apologies. I’d like to help you; please share your details: https://t.co/beaaDm0muc and I’ll contact you soon. ^VR,auto_handle,Similar historical support cases were found.
@115850 order ID #407-5845756-8052349,other,delivery_delay,@736326 I'm sorry about the delay in delivering your order. Please escalate this to our support team here: https://t.co/vlvfJr4nN9. We'll look into it. 1/2 ^SB,auto_handle,Similar historical support cases were found.
"@AmazonHelp オフラインでも動画が視聴できる機能凄い便利です!
来月も引き続き利用しようと考えているのですが、大学生ならAmazon studentに加入すればプライムの動画を視聴することはできますか?",other,delivery_delay,@639886 That is unusual. Is the item shipped by amazon or is it a seller fulfilled item ? ^KS,auto_handle,Similar historical support cases were found.
@115850 Ordered a Moto G5 S+ ten days ago but it was never delivered cause it was broken while shipping as per what customer care told me.,delivery_missing,delivery_delay,"@415447 We cross-checked, it worked. Kindly use a laptop/desktop to access the link. Keep us posted. ^CB",auto_handle,Similar historical support cases were found.
@AmazonHelp Hello?,other,delivery_delay,@184337 I'm sorry for the delay! What was advised when you spoke with us? We don't have access to order details via Twitter. ^WJ,auto_handle,Similar historical support cases were found.
"Ok, so I went on the amazon website today to look for inspiration for my lovely wife for Xmas, I proceeded to go into the gifts for women section and saw this.... Now what woman doesn't like a life jacket for Xmas, I mean seriously @115830 😕🙊 https://t.co/nJfJtdklRZ",other,delivery_delay,@649933 I think every woman should have one of these in case they fall overboard 🚣‍☺️^KM,auto_handle,Similar historical support cases were found.
@AmazonHelp I've talked to THREE SUPERVISORS. I've called in 7-8+ times. My book is still not live and we're on the third business day.,other,delivery_delay,@231878 What was advised by the supervisors you spoke with? Did they provide any insight on a time frame for resolution? ^NC,auto_handle,Similar historical support cases were found.
"@AmazonHelp 2 months, still waiting for refund. ORDER # 408-6487239-5985920 Spoke with 6 people on 2 months, all of them just promised but did nothing!",refund_or_return,refund_or_return,"@491015 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2)^SV",auto_handle,Similar historical support cases were found.
@115828 why are so many titles no available for pre-order? Monster Hunter World? Red Dead Redemption 2? Ni No Kuni II? etc.,other,delivery_delay,@601275 Sorry they are not available. You can request an e-mail update as soon as we have them available to order. ^AF,auto_handle,Similar historical support cases were found.
"@AmazonHelp trying to use Vendor Central,it either comes up with a page saying 'website currently unavailable' or takes me back to dashboard",other,delivery_delay,"@366927 Sorry to hear that Emily, please try using a different browser or device to access this? ^RS",auto_handle,Similar historical support cases were found.
Just found an @115821 parcel in my front garden... where’s the strangest “safe place” you’ve ever found a parcel? 😂 https://t.co/YGGCeC8Oyc,other,delivery_delay,"@350701 Hi Carl, we'd like to investigate it. Please submit this secure form ans we'll be in touch: https://t.co/tkLCr7DNil ^AT",auto_handle,Similar historical support cases were found.
@AmazonHelp I'm getting emails to inform me they're going to be late. One stated on the confirmation email it would arrive on the 24th! And I didn't get any correspondence to say it's going to be late for that one.,delivery_delay,delivery_delay,@790720 Please contact us directly so we may take a closer look and check our options: https://t.co/JzP7hlA23B ^BG,auto_handle,Similar historical support cases were found.
@115850 @734 @AmazonHelp . What a pathet8c customer support#onlt intrstd in selling#no customer support#poor service#can sm1 help,product_or_service_issue,product_or_service_issue,@172352 The link here would be more helpful: https://t.co/hITbmQzz2y. ^BS,auto_handle,Similar historical support cases were found.
"届いてない！！！
今何日だっけ！！！！
最悪や…。 https://t.co/kl7cBwafM1",other,delivery_delay,@552589 気に入っていただけて嬉しいニャ！🐱🐱🐱ET,auto_handle,Similar historical support cases were found.
"@115850 Ordered HeadzUp, Seller is charging more than MRP. Charging GST over the MRP https://t.co/mIqGrGv4yE",other,delivery_delay,"@240464 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2) ^KA",auto_handle,Similar historical support cases were found.
"Dernier cadeau de Noel acheté...C'est bon retirez moi @115993 , @813643 , @24247 , @120533 ...Je suis ruinée :'( #Noel2017 #ShoppingAddict https://t.co/FWnRt1nJTv",other,delivery_delay,"@813642 Que la magie de noël commence 🎄 J'adore cette période de l'année et surtout recevoir plein de 🎁. Sans indiscrétion, qu'est-ce que vous avez commandé ? ^ASZ",auto_handle,Similar historical support cases were found.
"@AmazonHelp  item not delivered,customer service said to return item for a refund, ummm how? when it was never delivered???",delivery_missing,refund_or_return,"@718249 Oh my! I'm sorry that your item hasn't been delivered, Beth. We're unable to view your order here on Twitter. Let's look into available options here: https://t.co/JzP7hlA23B ^AB",auto_handle,Similar historical support cases were found.
@AmazonHelp My ordered is not delivered yet?,delivery_missing,delivery_missing,"@444309 I'm sorry for the miss, we have sent you a correspondence here: https://t.co/DTSNmGldJf kindly check and revert. ^AH",auto_handle,Similar historical support cases were found.
@AmazonHelp Delivered to smokers? What is this? These is the second delivery that hasn’t arrived? Who are smokers? I can’t believe how careless amazon are with their deliveries? Just handed to SMOKERS? #Amazon https://t.co/aOm0GVoxU7,delivery_missing,delivery_delay,"@643620 Oh! I see! I'm so sorry about this, Kira! If you'd like to reach out to us by phone, we will be happy to investigate this for you! You can contact us here: https://t.co/JzP7hlA23B and we can explore available options! Please keep us posted! Thanks! ^FR",auto_handle,Similar historical support cases were found.
2nd time this year I've received a new book from @116090 that's arrived with the dust jacket torn and the edges of the book dented. So irritating. https://t.co/Nk471D5AlY,other,delivery_delay,@807841 I'm sorry your order arrived in this condition. Let's explore your return or replacement options here: https://t.co/WzAEDOuOUI ^GG,auto_handle,Similar historical support cases were found.
@AmazonHelp It's totally 2 weeks now that I didn't get my item. Tell me if I can cancel it. Totally unsatisfactory and uneducated Employee in Bluedart.,product_or_service_issue,product_or_service_issue,@158507 The delay was unexpected. Kindly revert the correspondence received. We'll help you further. ^BS,auto_handle,Similar historical support cases were found.
@115850 @115821 @115851 @123288 @39424 Your arrogance &amp; anti-customer policies will make u akin to @4030  whose arrogance to retain amirkhan as B/A is now fighting 2 survive,other,delivery_delay,"@153500 We've responded to you here: https://t.co/diDX8g09gB, request you to check. ^MA",auto_handle,Similar historical support cases were found.
"@115850 you guys are just making fool to customers in the name of flash sale, pr9viding 3rd class product",product_or_service_issue,product_or_service_issue,@278558 Apologies for any trouble. We'd like to know what exactly went wrong with the product. Could you please elaborate the issue? ^AB,auto_handle,Similar historical support cases were found.
@AmazonHelp En la app kindle y en la app Amazon no me deja comprar https://t.co/1kmLVkGIhg,product_or_service_issue,product_or_service_issue,"@561550 (2/2) o desde el navegador de internet de tu celular, en el sitio completo de Amazon. ^LG",auto_handle,Similar historical support cases were found.
@115821 why won't you let me log into my account,account_or_login,account_or_login,"@733791 Oh no! We'd like to help, Rachel! Could tell us more about the problem with logging into your account? ^HM",auto_handle,Similar historical support cases were found.
@115851 @AmazonHelp Your return pickup for 404-7148114-1043526 has been scheduled for 02-Nov between 1:00PM-4:00PM.,refund_or_return,refund_or_return,@120778 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC,auto_handle,Similar historical support cases were found.
"@AmazonHelp Yes, quite a few times this &amp; last week.",other,delivery_delay,"@171449 We'd like to look into this with you! When you have a moment, please fill in your info here: https://t.co/rxeiWjWQ4F ^TG",auto_handle,Similar historical support cases were found.
@115850 can I get refund from Amazon Pay account into my bank account,refund_or_return,refund_or_return,@640256 The Amazon Pay balance is non-refundable and non-transferable. Appreciate your understanding. ^ZH,auto_handle,Similar historical support cases were found.
@116875 Cuando targettorre rss frt7hte,other,delivery_delay,"@793661 Hola, Leonel.  Sin mencionar detalles de tu cuenta o un número de tu pedido, ¿podrías por favor decirnos cómo te podemos ayudar? ^CB",auto_handle,Similar historical support cases were found.
Am I the only one who lost the Carousel view after the @117634 update? Grrrrr...,other,delivery_delay,"@613753 We'd like to assist! Which specific type of Kindle, Fire, or Kindle Reading app are you using? ^JR",auto_handle,Similar historical support cases were found.
@116618 so not happy with your service. Last night the movie works great. Try to resume it today and I go.  Always have this issue.,product_or_service_issue,product_or_service_issue,@501789 I'm sorry for the trouble! Are you resuming playback on the same device? Which device is being used? ^AR,auto_handle,Similar historical support cases were found.
@AmazonHelp I can send a dm with the order number,other,delivery_delay,"@251768 Using the link EZ provided will be the best way we can help, as we do not have access to your Amazon account via Twitter. ^WM",auto_handle,Similar historical support cases were found.
@AmazonHelp My replacement has not been more than 10 days. What are you doing? What people are you doing? I do not know how to do the work of people,refund_or_return,refund_or_return,@463405 Let me help you here. Have you tried reporting this to our support team at https://t.co/vlvfJr4nN9? ^AR,auto_handle,Similar historical support cases were found.
@AmazonHelp 26 de julio de 2017 - 08 de agosto de 2017,other,delivery_delay,@670310 Lamento el atraso. ¿El pedido fue gestionado por Amazon o por un vendedor desde nuestro sitio? ^CR,auto_handle,Similar historical support cases were found.
Who gets the 7 years bad luck if it arrived like this @115830 @173744? Bagsy not me!😱😱😱 https://t.co/BvNGJn9zZD,other,delivery_delay,@298154 Sorry to see this. Can you contact us here: https://t.co/JzP7hlA23B? ^MC,auto_handle,Similar historical support cases were found.
@AmazonHelp do you no longer get free grocery delivery for prime members?  Mine isn’t showing it.  Now £3.99.  My order is over £20 https://t.co/m8sRouDs9Z,prime_or_subscription,delivery_delay,@383803 Free delivery is currently available for orders of £40 or more. We have more information about delivery rates listed here: https://t.co/DJWWYxtOhF ^RA,auto_handle,Similar historical support cases were found.
@162519 @115850 What happens on renewal now? On new pricing?,product_or_service_issue,product_or_service_issue,@174755 Any renewal before 31st October will be in the existing price of 499. From November 1st it will be INR 999.,auto_handle,Similar historical support cases were found.
"@AmazonHelp Pls stop making fool, I'm chasing u guys since 19th, on mail, on twitter, on customer centre everywhere.",other,delivery_delay,"@337608 We haven't received your information yet, kindly drop in your details through the link provided &amp; we'll get back to you soon. ^EM",auto_handle,Similar historical support cases were found.
"@116316 kommt meine #XboxOneX wirklich erst Ende November 😱 oder habt ihr einen Hinweis, dass da früher noch was geht?",other,delivery_delay,"@527532 Wenn dir das Datum in der Bestellbestätigung angezeigt wird, stimmt das auch. Falls früher, erhälst du eine Mail. Gruß ^TA",auto_handle,Similar historical support cases were found.
@AmazonHelp Please get back with a solution not a refund or asking for more patience. An actual plan and solution how this will be handled and corrected,refund_or_return,refund_or_return,@132485 I get your concern. I've noted your comments and passed it internally. We'll work on it and get back to you soon. ^PS,auto_handle,Similar historical support cases were found.
Dear @115850 your deaf delivery man texts me this on asking about my delivery details. Order No. 4__credit_card__. Please act asap https://t.co/yjtnGTfRKj,other,delivery_delay,@418412 Apologies for the unpleasant experience. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you. ^GS,auto_handle,Similar historical support cases were found.
"Don't bother paying for Amazon Prime, second time an Amazon Logistics driver has decided to deliver our package to a random house though our number is clearly posted, unacceptable! @115830  @AmazonHelp Last time was just a refund, this was a black friday deal, i want my item!",refund_or_return,refund_or_return,"@814841 I'm very sorry that your order was misdelivered for a second time, Christine. While we strive to be better, we don't always hit the mark! Please reach out to us via phone or chat so that we can further assist:  https://t.co/hApLpMlfHN ^SP",auto_handle,Similar historical support cases were found.
@AmazonHelp @115850 mentioned in the mail like I'll get back my money today(NOV 7) to my account but again U guys proved very worst service @115850,account_or_login,account_or_login,"@451686 Apologies, kindly reply to our email with your insights. We'll check and get back you at the earliest. ^MO",auto_handle,Similar historical support cases were found.
@115851 @AmazonHelp @115821 @115830 https://t.co/s5KKYuS4kC,other,delivery_delay,@122347 I'm sorry your order has not arrived yet. Late parcels typically arrive the next day. Please keep us posted on the delivery. ^JF,auto_handle,Similar historical support cases were found.
@AmazonHelp vous pouvez me dire ou est mon colis :'( ?,other,delivery_delay,"@803910 Bonsoir, je suis sincèrement désolée pour le désagrément causé par cela. Quelle était la date de livraison de votre commande et que dit le suivi de colis s'il vous plaît ? ^SB",auto_handle,Similar historical support cases were found.
"@AmazonHelp I have shared the details. Now, please do something. The tracking details in the order history on your website is fake one.",other,delivery_delay,"@521437 If you've shared the details in the above link, you should've received an email from social media team. Kindly check here: https://t.co/DTSNmGldJf and reply to the same for further assistance. ^MO",auto_handle,Similar historical support cases were found.
@115821 absolutely shocking ordered two weeks ago nothing delivered ordered Saturday for guaranteed delivery today still nothing....#awful,delivery_missing,delivery_delay,@513973 I'm sorry you're having trouble with your order! Did we miss the delivery date listed in your confirmation e-mail? ^JS,auto_handle,Similar historical support cases were found.
